,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"14,5791",$/kWh
0,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"14,5719",$/kWh
1,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"14,5657",$/kWh
2,USUARIOS FINALES Suministros Mayor o igual a 300 kW de Demanda,,
3,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"14,5979",$/kWh
4,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"14,5914",$/kWh
5,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"14,5846",$/kWh
6,T - SUMINISTROS EN ALTA TENSIÓN,,
7,CARGO FIJO,,$/mes
8,CARGO POR POTENCIA EN PICO,,$/kW-mes
9,CARGO POR POTENCIA FUERA PICO,,$/kW-mes
10,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,,$/kWh
11,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,,$/kWh
12,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,,$/kWh
13,QUEÑAS DEMANDAS RURALES (menos de 10 kW de potencia),,
14,- PEQUEÑAS DEMANDAS RURALES RESIDENCIALES,,
15,CARGO FIJO T4R1,"776,57",$/mes
16,CARGO VARIABLE T4R1 (consumo en kWH-Mes ≤ 500),"18,9993",$/kWh
