,Cargo Variable 151-325,$/kWh,"17,6172"
0,Cargo Fijo 326-400,$/mes,"773,03"
1,Cargo Variable 326-400,$/kWh,"17,6612"
2,Cargo Fijo 401-450,$/mes,"907,98"
3,Cargo Variable 401-450,$/kWh,"17,8124"
4,Cargo Fijo 451-500,$/mes,"1.006,20"
5,Cargo Variable 451-500,$/kWh,"17,8961"
6,Cargo Fijo 501-600,$/mes,"1.413,63"
7,Cargo Variable 501-600,$/kWh,"18,2468"
8,Cargo Fijo 601-700,$/mes,"1.790,46"
9,Cargo Variable 601-700,$/kWh,"18,5103"
10,Cargo Fijo 701-1400,$/mes,"2.401,66"
11,Cargo Variable 701-1400,$/kWh,"18,6760"
12,Cargo Fijo +1400,$/mes,"2.800,40"
13,Cargo Variable +1400,$/kWh,"18,7103"
14,Cargo Fijo,$/mes,"589,31"
15,Cargo Variable,$/kWh,"19,3808"
16,Cargo Fijo,$/mes,"4.306,28"
17,Cargo Variable,$/kWh,"18,8954"
18,Cargo Fijo,$/mes,"11.810,8"
19,Cargo Variable,$/kWh,"18,4912"
20,Cargo Variable,$/kWh,"19,3899"
